STATION CODE,LOCATIONS,STATE,TEMPERATURE ºC  : Min,TEMPERATURE ºC  : Max,TEMPERATURE ºC  : Mean,D.O. (mg/l)  : Min  : > 4 mg/l,D.O. (mg/l)  : Max  : > 4 mg/l,D.O. (mg/l)  : Mean  : > 4 mg/l,pH  : Min  : 6.5-8.5,pH  : Max  : 6.5-8.5,pH  : Mean  : 6.5-8.5,CONDUCTIVITY (µmhos/cm)  : Min,CONDUCTIVITY (µmhos/cm)  : Max,CONDUCTIVITY (µmhos/cm)  : Mean,B.O.D. (mg/l)  : Min  : < 3 mg/l,B.O.D. (mg/l)  : Max  : < 3 mg/l,B.O.D. (mg/l)  : Mean  : < 3 mg/l,NITRATE- N+ NITRITE-N (mg/l)  : Min,NITRATE- N+ NITRITE-N (mg/l)  : Max,NITRATE- N+ NITRITE-N (mg/l)  : Mean,FECAL COLIFORM (MPN/100ml)  : Min  : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml)  : Max  : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml)  : Mean  : < 2500 MPN/100ml,TOTAL COLIFORM (MPN/100ml)  : Min  : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml)  : Max  : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml)  : Mean  : < 5000 MPN/100ml
1494,"YAMUNA AT U/S OF LAKHWAR DAM, U.P",UTTARAKHAND,18,21,19.7,4.2,8.4,6.5,8,8.3,8.2,NA,NA,NA,0.8,1.4,1.1,0,0,0,7900,7900,7900,35000,35000,35000
1490,"YAMUNA AT U/S DAK PATTHAR, UTTAR PARDESH",UTTARAKHAND,17,21,18.7,6.6,8.4,7.7,8.1,8.3,8.2,NA,NA,NA,1.2,1.4,1.3,0,0,0,1100,1100,1100,17,13000,6509
1553,"YAMUNA , U/S PAONTA SAHIB, H.P",HIMACHAL PRADESH,15,28,22.3,6.4,8.4,7.7,6.4,8.4,7.5,196,652,465,0.8,1.6,1.2,0.1,0.6,0.2,7,11,9,18,21,19
1554,"YAMUNA , D/S PAONTA SAHIB, H.P",HIMACHAL PRADESH,17,29,23.7,5.8,8.2,7.5,6.6,8.8,7.8,112,651,331,1,1.8,1.5,0.1,0.6,0.2,8,16,11,17,24,21
1120,"YAMUNA AT WAZIRABAD, DELHI, CPCB",DELHI,NA,NA,NA,6.4,12.8,9.3,7.2,8.3,7.6,NA,NA,NA,1,5,2.4,NA,NA,NA,NA,NA,NA,450,43000,10003
1121,"YAMUNA AT NIZAMUDDIN, DELHI",DELHI,NA,NA,NA,0.3,2.8,1.2,7.1,7.6,7.5,NA,NA,NA,4,36,17.2,1.1,17.5,9,NA,NA,NA,330000,54000000,12010833
1375,"YAMUNA AT OKHLA BRIDGE (INLET OF AGRA CANAL), DELHI",DELHI,NA,NA,NA,0.4,3,1.4,7.1,8.1,7.6,NA,NA,NA,5,37,17.3,1.1,15.9,9.2,NA,NA,NA,450000,160000000,23816667
2495,"YAMUNA AT KESIGHAT, VRINDAVAN",UTTAR PRADESH,14,34,25,2,6.5,4,7.4,8,7.7,104,648,196,6.4,12.6,8.3,0,0,0,31000,93000,43546,63000,90000,73727
1123,"YAMUNA AT MATHURA U/S , U.P.",DELHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,23000,23000,23000,33000,33000,33000
2494,"YAMUNA AT VISHRAMGHAT, MATHURA",UTTAR PRADESH,15,33,25,1.5,6.4,3.7,7.2,7.9,7.5,108,996,273,7.6,14.4,9.2,0,0,0,28000,78000,53546,57000,180000,117273
1124,"YAMUNA AT MATHURA D/S , U.P.",DELHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,150000,150000,150000,240000,240000,240000
